player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,PLAYER_ID,PLAYER_NAME
Derrick Favors,2010.0,3.0,Power Forward,202324.0,2014-15,0.8,74.0,30.8,16.0,8.2,1.5,0.8,1.7,0.525,0.167,0.669,6.5,12.4,0.0,0.1,3.0,4.5,2.6,5.6,1.6,2.8,UTA,ok,202324.0,Derrick Favors
Wesley Johnson,2010.0,4.0,Small Forward,202325.0,2011-12,-2.3,65.0,22.6,6.0,2.7,0.9,0.5,0.7,0.398,0.314,0.706,2.4,6.1,0.8,2.6,0.4,0.5,0.4,2.4,0.9,1.8,MIN,ok,202325.0,Wesley Johnson
Greg Monroe,2010.0,5.0,Power Forward/Center,202328.0,2014-15,-0.3,69.0,31.0,15.9,10.2,2.1,1.1,0.5,0.496,0.0,0.75,6.1,12.4,0.0,0.0,3.7,4.9,3.3,6.9,2.2,2.1,DET,ok,202328.0,Greg Monroe
Patrick Patterson,2010.0,6.0,Power Forward,202335.0,2014-15,3.1,81.0,26.6,8.0,5.3,1.9,0.7,0.5,0.449,0.371,0.788,3.0,6.6,1.3,3.5,0.8,1.0,1.6,3.8,0.7,1.8,TOR,ok,202335.0,Patrick Patterson
DeMarcus Cousins,2010.0,7.0,Power Forward/Center,202326.0,2014-15,1.0,59.0,34.1,24.1,12.7,3.6,1.5,1.7,0.467,0.25,0.782,8.4,18.1,0.0,0.1,7.2,9.2,3.1,9.5,4.3,4.1,SAC,ok,202326.0,DeMarcus Cousins
Luke Babbitt,2010.0,8.0,Small Forward/Power Forward,202337.0,2013-14,2.6,27.0,17.5,6.3,3.3,1.1,0.3,0.4,0.39,0.379,0.778,2.2,5.7,1.3,3.5,0.5,0.7,0.7,2.6,0.6,1.9,NOP,ok,202337.0,Luke Babbitt
Al-Farouq Aminu,2010.0,9.0,Small Forward,202329.0,2014-15,1.4,74.0,18.5,5.6,4.6,0.8,0.9,0.8,0.412,0.274,0.712,2.0,4.8,0.5,1.7,1.1,1.6,1.5,3.1,0.7,1.9,DAL,ok,202329.0,Al-Farouq Aminu
Paul George,2010.0,10.0,Small Forward,202331.0,2012-13,4.6,79.0,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,6.2,14.9,2.2,5.9,2.8,3.5,1.1,6.5,2.9,2.9,IND,ok,202331.0,Paul George
Ed Davis,2010.0,11.0,Power Forward,202334.0,2013-14,0.9,63.0,15.2,5.7,4.1,0.4,0.3,0.7,0.534,0.0,0.528,2.5,4.6,0.0,0.0,0.7,1.4,1.5,2.7,0.6,1.8,MEM,ok,202334.0,Ed Davis
Xavier Henry,2010.0,12.0,Shooting Guard,202333.0,2014-15,1.6,9.0,9.5,2.2,0.4,0.3,0.3,0.0,0.231,0.0,0.583,0.3,1.4,0.0,0.0,1.6,2.7,0.2,0.2,0.3,0.7,LAL,ok,202333.0,Xavier Henry
Avery Bradley,2010.0,13.0,Shooting Guard,202340.0,2011-12,1.5,64.0,21.4,7.6,1.8,1.4,0.7,0.2,0.498,0.407,0.795,3.1,6.3,0.3,0.8,1.0,1.2,0.5,1.3,1.2,1.7,BOS,ok,202340.0,Avery Bradley
